Date,Value
31/10/2016,92.5634
28/10/2016,92.7324
27/10/2016,92.7911
26/10/2016,92.5207
25/10/2016,92.5881
24/10/2016,92.669
21/10/2016,92.6081
20/10/2016,92.0592
19/10/2016,91.642
18/10/2016,91.5885
17/10/2016,91.7494
14/10/2016,91.9004
13/10/2016,91.7452
12/10/2016,92.0748
11/10/2016,91.6609
07/10/2016,91.299
06/10/2016,91.0422
05/10/2016,90.706
04/10/2016,90.5212
03/10/2016,90.232
30/09/2016,89.9324
29/09/2016,89.9109
28/09/2016,90.2273
27/09/2016,90.188
26/09/2016,89.8734
23/09/2016,90.0937
22/09/2016,89.7054
21/09/2016,90.2977
20/09/2016,90.5188
19/09/2016,90.3828
16/09/2016,90.5795
15/09/2016,90.0282
14/09/2016,90.0495
13/09/2016,90.1175
12/09/2016,89.8663
09/09/2016,89.9972
08/09/2016,89.461
07/09/2016,89.3795
06/09/2016,89.3205
02/09/2016,90.2863
01/09/2016,90.2592
31/08/2016,90.5736
30/08/2016,90.4284
29/08/2016,90.0603
26/08/2016,89.5294
25/08/2016,89.2849
24/08/2016,89.3029
23/08/2016,89.0277
22/08/2016,89.1167
19/08/2016,88.9845
18/08/2016,88.6645
17/08/2016,89.2555
16/08/2016,89.1298
15/08/2016,89.7295
12/08/2016,89.8341
11/08/2016,89.9869
10/08/2016,90.056
09/08/2016,90.5007
08/08/2016,90.7712
05/08/2016,90.6646
04/08/2016,90.0254
03/08/2016,89.9403
02/08/2016,89.6752
01/08/2016,90.144
29/07/2016,90.0325
28/07/2016,91.0166
27/07/2016,91.6858
26/07/2016,91.5145
25/07/2016,91.7101
22/07/2016,91.7229
21/07/2016,91.1923
20/07/2016,91.2993
19/07/2016,91.2104
18/07/2016,90.7627
15/07/2016,90.8164
14/07/2016,90.387
13/07/2016,90.3969
12/07/2016,90.6943
11/07/2016,90.8928
08/07/2016,90.5723
07/07/2016,90.3247
06/07/2016,90.3601
05/07/2016,90.2657
01/07/2016,89.892
30/06/2016,90.584
29/06/2016,90.0971
28/06/2016,90.6604
27/06/2016,90.6334
24/06/2016,89.8117
23/06/2016,88.3633
22/06/2016,88.7177
21/06/2016,88.8066
20/06/2016,88.5785
17/06/2016,89.1302
16/06/2016,89.9058
15/06/2016,89.5294
14/06/2016,89.5384
13/06/2016,89.1662
10/06/2016,89.1121
09/06/2016,88.7943
08/06/2016,88.4402
07/06/2016,88.8895
06/06/2016,89.1211
03/06/2016,89.3204
02/06/2016,90.5316
01/06/2016,90.6212
31/05/2016,90.8375
27/05/2016,90.47
26/05/2016,90.2362
25/05/2016,90.611
24/05/2016,90.7168
23/05/2016,90.6591
20/05/2016,90.6609
19/05/2016,90.4491
18/05/2016,89.8005
17/05/2016,89.4604
16/05/2016,89.5386
13/05/2016,89.8038
12/05/2016,89.2289
11/05/2016,88.9053
10/05/2016,89.4658
09/05/2016,89.3943
06/05/2016,88.9463
05/05/2016,88.8924
04/05/2016,88.6156
03/05/2016,88.0097
02/05/2016,87.6219
29/04/2016,87.9695
28/04/2016,88.5884
27/04/2016,89.1455
26/04/2016,89.0395
25/04/2016,89.371
22/04/2016,89.5893
21/04/2016,89.206
20/04/2016,88.8875
19/04/2016,88.7208
18/04/2016,89.2632
15/04/2016,89.4733
14/04/2016,89.629
13/04/2016,89.4546
12/04/2016,88.96
11/04/2016,89.0725
08/04/2016,89.3861
07/04/2016,89.7561
06/04/2016,89.5687
05/04/2016,90.0674
04/04/2016,89.7926
01/04/2016,89.9376
31/03/2016,89.7171
30/03/2016,89.9472
29/03/2016,90.9598
28/03/2016,91.0155
25/03/2016,91.3881
24/03/2016,91.3394
23/03/2016,91.1568
22/03/2016,90.4955
21/03/2016,90.2985
18/03/2016,89.9368
17/03/2016,89.8565
16/03/2016,92.0399
15/03/2016,91.7412
14/03/2016,91.6314
11/03/2016,91.1559
10/03/2016,91.5824
09/03/2016,91.8408
08/03/2016,92.0882
07/03/2016,92.118
04/03/2016,92.2166
03/03/2016,92.5766
02/03/2016,93.2026
01/03/2016,93.1934
29/02/2016,93.2101
26/02/2016,93.1882
25/02/2016,92.6798
24/02/2016,92.8815
23/02/2016,93.0056
22/02/2016,92.8785
19/02/2016,92.5236
18/02/2016,92.6647
17/02/2016,92.5043
16/02/2016,92.8133
12/02/2016,92.1875
11/02/2016,91.765
10/02/2016,92.6147
09/02/2016,92.225
08/02/2016,92.9784
05/02/2016,93.1859
04/02/2016,92.5278
03/02/2016,93.4923
02/02/2016,94.8171
01/02/2016,94.9287
29/01/2016,95.3746
28/01/2016,94.5195
27/01/2016,94.854
22/01/2016,95.1776
21/01/2016,95.2326
20/01/2016,95.4884
19/01/2016,95.4751
15/01/2016,95.1338
14/01/2016,95.2875
13/01/2016,95.0987
12/01/2016,95.1846
11/01/2016,94.727
08/01/2016,94.6521
07/01/2016,94.577
06/01/2016,95.0333
05/01/2016,94.9326
04/01/2016,94.6663
31/12/2015,94.2472
30/12/2015,94.0808
29/12/2015,94.006
28/12/2015,93.7863
24/12/2015,93.7658
23/12/2015,94.2356
22/12/2015,93.9978
21/12/2015,94.3218
18/12/2015,94.391
17/12/2015,94.9732
16/12/2015,93.9207
15/12/2015,93.8606
14/12/2015,93.2336
11/12/2015,93.2573
10/12/2015,93.3286
09/12/2015,93.2645
08/12/2015,93.8934
07/12/2015,93.8651
04/12/2015,93.3429
03/12/2015,93.359
02/12/2015,94.7289
01/12/2015,94.4438
30/11/2015,94.6528
27/11/2015,94.5733
25/11/2015,94.2719
24/11/2015,94.1376
23/11/2015,94.4826
20/11/2015,94.139
19/11/2015,93.6043
18/11/2015,94.3881
17/11/2015,94.3209
16/11/2015,94.041
13/11/2015,93.9256
12/11/2015,93.6685
10/11/2015,94.0156
09/11/2015,93.6996
06/11/2015,93.9096
05/11/2015,92.8565
04/11/2015,92.7765
03/11/2015,92.3006
02/11/2015,91.9118
30/10/2015,91.8307
29/10/2015,92.4444
28/10/2015,91.9116
27/10/2015,92.0949
26/10/2015,91.9033
23/10/2015,92.1375
22/10/2015,91.4164
21/10/2015,90.6328
20/10/2015,90.2639
19/10/2015,90.4193
16/10/2015,90.1586
15/10/2015,89.7123
14/10/2015,89.9491
13/10/2015,90.3162
09/10/2015,90.3207
08/10/2015,90.7481
07/10/2015,90.9149
06/10/2015,90.978
05/10/2015,91.3642
02/10/2015,91.23
01/10/2015,91.6013
30/09/2015,92.1031
29/09/2015,91.8065
28/09/2015,91.747
25/09/2015,91.9362
24/09/2015,91.6035
23/09/2015,91.9342
22/09/2015,91.8303
21/09/2015,91.4764
18/09/2015,90.5877
17/09/2015,91.0359
16/09/2015,90.9984
15/09/2015,91.4077
14/09/2015,91.1326
11/09/2015,91.1705
10/09/2015,91.3142
09/09/2015,91.7519
08/09/2015,91.5025
04/09/2015,91.9256
03/09/2015,91.8858
02/09/2015,91.5646
01/09/2015,91.1948
31/08/2015,91.6432
28/08/2015,91.7719
27/08/2015,91.324
26/08/2015,90.7639
25/08/2015,90.6506
24/08/2015,89.6952
21/08/2015,90.7105
20/08/2015,91.311
19/08/2015,92.0872
18/08/2015,92.0601
17/08/2015,91.9286
14/08/2015,91.7807
13/08/2015,91.6863
12/08/2015,91.212
11/08/2015,92.3403
10/08/2015,92.2482
07/08/2015,92.5141
06/08/2015,92.7097
05/08/2015,92.9313
04/08/2015,92.362
03/08/2015,92.3936
31/07/2015,91.9203
30/07/2015,92.3826
29/07/2015,91.6246
28/07/2015,91.568
27/07/2015,91.4854
24/07/2015,92.1666
23/07/2015,92.0648
22/07/2015,92.362
21/07/2015,92.0637
20/07/2015,92.4286
17/07/2015,92.4188
16/07/2015,92.0911
15/07/2015,91.8313
14/07/2015,91.1964
13/07/2015,91.2646
10/07/2015,90.6362
09/07/2015,91.0129
08/07/2015,90.7657
07/07/2015,91.3568
06/07/2015,90.594
02/07/2015,90.4697
01/07/2015,90.4411
30/06/2015,89.8171
29/06/2015,89.5423
26/06/2015,89.7886
25/06/2015,89.5816
24/06/2015,89.8757
23/06/2015,89.5408
22/06/2015,88.6982
19/06/2015,88.7238
18/06/2015,88.3599
17/06/2015,89.3945
16/06/2015,89.3969
15/06/2015,89.3301
12/06/2015,89.2021
11/06/2015,89.5025
10/06/2015,89.0339
09/06/2015,89.4579
08/06/2015,90.0514
05/06/2015,90.6846
04/06/2015,89.8962
03/06/2015,89.6853
02/06/2015,90.2311
01/06/2015,91.4334
29/05/2015,90.8242
28/05/2015,91.1521
27/05/2015,91.1925
26/05/2015,90.9928
22/05/2015,89.8915
21/05/2015,89.2143
20/05/2015,89.5066
19/05/2015,89.1839
18/05/2015,88.1553
15/05/2015,87.5059
14/05/2015,87.6232
13/05/2015,87.5127
12/05/2015,88.2035
11/05/2015,88.8918
08/05/2015,88.5252
07/05/2015,88.5882
06/05/2015,88.0236
05/05/2015,88.7973
04/05/2015,89.1789
01/05/2015,89.1848
30/04/2015,89.0096
29/04/2015,88.3547
28/04/2015,89.319
27/04/2015,89.9196
24/04/2015,90.1308
23/04/2015,90.5004
22/04/2015,91.0597
21/04/2015,90.9402
20/04/2015,90.7896
17/04/2015,90.7097
16/04/2015,90.8353
15/04/2015,91.9237
14/04/2015,91.8438
13/04/2015,92.6684
10/04/2015,92.5812
09/04/2015,92.2056
08/04/2015,91.347
07/04/2015,91.3037
06/04/2015,90.4251
03/04/2015,90.5271
02/04/2015,91.3544
01/04/2015,91.7881
31/03/2015,92.0599
30/03/2015,91.8314
27/03/2015,91.1357
26/03/2015,90.8036
25/03/2015,90.6375
24/03/2015,90.98
23/03/2015,90.9113
20/03/2015,91.6875
19/03/2015,92.8746
18/03/2015,92.8928
17/03/2015,93.0676
16/03/2015,93.1269
13/03/2015,93.4008
12/03/2015,92.7449
11/03/2015,93.091
10/03/2015,92.199
09/03/2015,91.5574
